reference;name;description;price;image
13;Diffuseur Lunea;L’alliance du verre et du fer forgé offre un design résolument moderne au diffuseur Lunea. Mis en valeur par son éclairage LED aux différents coloris et sa brume épaisse qui se déverse de la vasque sphérique, il offre un spectacle magnifique ! Ce diffuseur d'huile essentielle fonctionne grâce à un système par ultrasons qui permet de diffuser à froid les huiles essentielles et ainsi d’en conserver toutes les propriétés thérapeutiques. De plus, il assainit l’air ambiant par l’émission d’ions négatifs et humidifie l'air. Il est donc idéal dans les pièces où l'air est sec à cause d'un chauffage électrique par exemple.  Installez-vous confortablement avec votre nuage de brume du diffuseur Lunea ! Sa capacité de diffusion lui permet de diffuser dans des pièces allant jusqu'à 50 m2.;41,1;www.compagnie-des-sens.fr/1199-home_default/diffuseur-lunea.jpg
14;Diffuseur Belisia;Le diffuseur Belisia, au design mariant subtilement le verre et le bambou, est un brumisateur tout en rondeur. Les lignes courbes du diffuseur d'huile essentielle sont mises en valeur par un éclairage LED changeant de couleur et illuminant à la fois la verrerie et le dessous du diffuseur.Un léger filet de brume s’échappe de la vasque pour délicatement parfumer et humidifier votre intérieur. Il est donc idéal pour les environnements très secs, et convient parfaitement pour des pièces allant jusqu'à 60 m2.La technique de diffusion respecte l’intégrité des huiles essentielles : elles ne sont pas chauffées mais les particules sont dispersées dans la pièce grâce à un système d’ultrasons, au travers d'une brume composée d’eau et d’huiles essentielles.;49,8;www.compagnie-des-sens.fr/1200-home_default/diffuseur-belisia.jpg
15;Diffuseur Elegansia;Le diffuseur ultrasonique Elegansia, est caractérisé par son design épuré et nature, avec son socle en bambou et sa vasque raffinée en verre. Un éclairage LED changeant en dégradé apporte une touche moderne à l’ensemble, en illuminant à la fois la vasque et le pied du diffuseur. Enfin, un filet de brume s'élève du diffuseur, on croirait presque la lampe du génie. La qualité est également au rendez-vous au niveau de la conception de son système de diffusion. Les huiles essentielles sont dispersées dans un nuage aromatique à travers la pièce par un système d’ultrasons. Ainsi, elles ne sont pas chauffées et conservent leur intégrité. Ce système permet également d’humidifier l’air ambiant : idéal donc pour les atmosphères asséchées, par un chauffage électrique par exemple !Ce diffuseur d'huile essentielle est idéal pour diffuser dans les grandes pièces, jusqu'à 60 m2.;49,8;www.compagnie-des-sens.fr/1201-home_default/diffuseur-elegansia.jpg
16;Diffuseur Essensia;Le diffuseur Essensia, avec son alliance de verre et de bambou et son couvercle à la forme volcanique, diffuse des huiles essentielles par ultrasons. Les particules d’eau, créant le nuage aromatique, permettront également de réguler le taux d’humidité. Ce diffuseur d'huile essentielle est idéal pour assainir les environnements secs.Le filet de fumée qui s’en dégage vous donnera l'illusion d'un volcan en éruption ! Le design élégant de ce diffuseur, mis en valeur par ses matériaux nobles, est éclairé par des LED changeant de couleurs. Un diffuseur parfait pour créer une ambiance spéciale dans les pièces allant jusqu'à 60m2.;49,8;www.compagnie-des-sens.fr/1202-home_default/diffuseur-essensia.jpg
17;Diffuseur Sonice;Dans la catégorie des diffuseurs petits et pratiques, le diffuseur d'huile essentielle par ventilation Sonice est un incontournable ! Il fonctionne aussi bien sur piles, que sur secteur ou port USB et pourra vous suivre partout : en voiture, au bureau, à la maison, ou en vacances.Discret et peu encombrant, il est en outre très simple d’utilisation et d’entretien. L’air produit par ventilation va disperser les huiles essentielles dans l’atmosphère. Les huiles essentielles sont diffusées à froid et conservent ainsi toutes leurs vertus.Le Sonice s'adapte parfaitement à des pièces de 10 m2 comme un bureau par exemple. Un parfait diffuseur de poche !    ;21;www.compagnie-des-sens.fr/1203-home_default/diffuseur-sonice.jpg
18;Diffuseur Néolia;Vous ne savez jamais doser vos huiles essentielles à diffuser ? Le diffuseur Néolia est fait pour vous ! Les huiles essentielles sont en effet diffusées directement depuis le flacon que vous aurez branché au diffuseur. Vous pouvez ensuite régler vous-même la fréquence et la durée de diffusion désirées. Très simple d’utilisation, il ne nécessite pas de nettoyage quotidien, et se branche aussi bien sur secteur que sur un port USB. Son design sobre et discret s’adapte à tous types d’intérieurs. Les huiles essentielles sont bien sûr diffusées à froid afin de préserver toutes leurs vertus.Grâce à son système de diffusion par nébulisation, le Néolia est un diffuseur d'huile essentielle haut-de-gamme puissant, capable de diffuser dans des grandes pièces allant jusqu'à 60 m2.;69,6;www.compagnie-des-sens.fr/1204-home_default/diffuseur-neolia.jpg
19;Huile végétale d'Argan BIO;Un vecteur d'huiles essentielles aux multiples propriétés !  Obtenue à partir de l'arganier, arbre millénaire du Maroc, l'huile végétale d'Argan est utilisée depuis toujours pour ses propriétés thérapeutiques et cosmétiques. Très nutritive, elle est la meilleure amie des peaux sèches, cheveux ternes et ongles abîmés. Et, pour tous les fans d'huiles essentielles, c'est l'huile végétale parfaite pour une pénétration optimale des actifs aromatiques à travers la peau !Idéale en cas de :  Desquamation importante : appliquer quelques gouttes en massage pénétrant sur les zones asséchées, 2 fois par jour. Cheveux abîmés, chute de cheveux : avant le lavage, appliquer sur toute la chevelure et laisser l'huile s'imprégner jusqu'à 1h.  Ongles mous et cassants : appliquer quelques gouttes en massage sur le bout des doigts, 1 fois par jour. Vendue en flacon de 50mL.;6;www.compagnie-des-sens.fr/754-home_default/huile-vegetale-d-argan-bio.jpg
20;Diffuseur Cozy ;Le diffuseur Cozy assure une bonne diffusion dans les petites pièces allant jusqu'à 20 m2, grâce à son système de diffusion par chaleur douce. De par son système d’auto-régulation, les huiles essentielles sont chauffées à une température idéale pour la diffusion permettant la préservation de leurs vertus thérapeutiques. Ce diffuseur d'huile essentielle au design simple et discret est très peu encombrant et très solide. Étant particulièrement facile à faire fonctionner, on peut donc l'emmener partout. Le modèle existe en deux coloris : blanc et noir. ;21;www.compagnie-des-sens.fr/1205-home_default/diffuseur-cozy.jpg
21;BASILIC - Huile essentielle BIO;La meilleure alliée pour le système digestif ! Le basilic est bien connu de nos tables et de nos cuisines pour apporter une touche fraîche et parfumée à nos salades et entrées. Son huile essentielle est très appréciée pour favoriser la digestion et limiter les ballonements. Vous pouvez profiter de tous ses bienfaits autant en usage interne qu'en externe.  Ballonnements, flatulences.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale en massage sur le ventre, à la suite de chaque repas.Voie orale : 1 goutte sous la langue pure ou sur un support à la suite de chaque repas.  Douleurs à l’estomac, hyperacidité, brûlures d'estomac.Voie orale : 1 goutte mélangée à une cuillère à café de miel, 3 fois/jour jusqu'à disparition de la douleur.;3,3;www.compagnie-des-sens.fr/933-home_default/basilic-huile-essentielle-bio.jpg
22;Flacon Vide;;0,8;www.compagnie-des-sens.fr/1218-home_default/flacon-vide.jpg
